Date in A.D,Date In B.S,Gold Rate Per Tola ,
06/06/2024,02/24/2081,"1,44,000/-",
06/05/2024,02/23/2081,"1,42,200/-",
06/04/2024,02/22/2081,"1,42,700/-",
06/03/2024,02/21/2081,"1,41,000/-",
06/02/2024,02/20/2081,"1,42,000/-",
05/31/2024,02/18/2081,"1,42,200/-",
05/30/2024,02/17/2081,"1,40,500/-",
05/29/2024,02/16/2081,"1,38,200/-",
05/28/2024,02/15/2081,"1,37,600/-",
05/27/2024,02/14/2081,"1,37,200/-",
05/26/2024,02/13/2081,"1,36,900/-",
05/24/2024,02/11/2081,"1,36,900/-",
05/23/2024,02/10/2081,"1,38,700/-",
05/22/2024,02/09/2081,"1,40,500/-",
05/21/2024,02/08/2081,"1,40,600/-",
05/20/2024,02/07/2081,"1,41,800/-",
05/19/2024,02/06/2081,"1,40,900/-",
05/17/2024,02/04/2081,"1,39,300/-",
05/16/2024,02/03/2081,"1,40,000/-",
05/15/2024,02/02/2081,"1,38,400/-",
05/14/2024,02/01/2081,"1,37,400/-",
05/13/2024,01/31/2081,"1,38,100/-",
05/12/2024,01/30/2081,"1,38,400/-",
05/10/2024,01/28/2081,"1,37,900/-",
05/09/2024,01/27/2081,"1,35,600/-",
05/08/2024,01/26/2081,"1,36,400/-",
05/07/2024,01/25/2081,"1,36,400/-",
05/06/2024,01/24/2081,"1,35,600/-",
05/03/2024,01/21/2081,"1,35,400/-",
05/02/2024,01/20/2081,"1,36,500/-",
05/01/2024,01/19/2081,"1,34,500/-",
04/30/2024,01/18/2081,"1,37,200/-",
04/29/2024,01/17/2081,"1,37,200/-",
04/28/2024,01/16/2081,"1,37,600/-",
04/26/2024,01/14/2081,"1,37,200/-",
04/25/2024,01/13/2081,"1,35,800/-",
04/24/2024,01/12/2081,"1,36,000/-",
04/23/2024,01/11/2081,"1,35,500/-",
04/22/2024,01/10/2081,"1,38,200/-",
04/21/2024,01/09/2081,"1,39,300/-",
04/19/2024,01/07/2081,"1,39,300/-",
04/18/2024,01/06/2081,"1,38,600/-",
04/17/2024,01/05/2081,"1,39,200/-",
04/16/2024,01/04/2081,"1,39,200/-",
04/15/2024,01/03/2081,"1,37,500/-",
